"Dstat 0.9.10 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","db3-xps",,,,"User:","fcg"
"Cmdline:","dstat -a --postgresql-backup --postgresql-dbsize --postgresql-log --postgresql-conn --postgresql-locks --postgresql-transactions --output metrics.csv",,,,"Date:","29 Aug 2021 13:26:03 CST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","used","free","buff","cach","int","csw","run","blk","new","1m","5m","15m"
0.033,0.012,99.953,0.002,0,10515.413,8970.564,0,0,0,0,1892470784,27159588864,1092501504,2708668416,49.333,87.286,0,0,0.108,0.290,0.160,0.050
0.083,0,99.917,0,0,0,0,456,1346,0,0,1892487168,27159572480,1092501504,2708668416,88,149,0,0,0,0.270,0.160,0.050
0,0,100,0,0,0,0,130,622,0,0,1892487168,27159572480,1092501504,2708668416,79,156,0,0,0,0.270,0.160,0.050
0,0,100,0,0,0,0,66,438,0,0,1892487168,27159572480,1092501504,2708668416,94,165,0,0,0,0.270,0.160,0.050
0.083,0.083,99.833,0,0,0,0,216,438,0,0,1892487168,27159572480,1092501504,2708668416,66,108,0,0,0,0.270,0.160,0.050
0,0,100,0,0,0,4096,66,438,0,0,1892487168,27159572480,1092501504,2708668416,86,161,0,0,0,0.270,0.160,0.050
0.083,0,99.917,0,0,0,28672,532,1108,0,0,1892478976,27159572480,1092509696,2708668416,117,185,0,0,0,0.240,0.150,0.050
1.167,0,98.833,0,0,0,0,336,336,0,0,1892478976,27159572480,1092509696,2708668416,373,1101,0,0,0,0.240,0.150,0.050
0.083,0,99.917,0,0,0,32768,568,322,0,0,1893294080,27158757376,1092509696,2708668416,126,235,0,0,1,0.240,0.150,0.050
1.835,0.167,97.998,0,0,0,163840,146,0,0,0,1893961728,27158089728,1092509696,2708668416,389,358,0,0,0,0.240,0.150,0.050
0.084,0,99.916,0,0,0,0,1936,1552,0,0,1893490688,27158540288,1092509696,2708701184,214,321,0,0,1,0.240,0.150,0.050
0.167,0.083,99.750,0,0,0,0,1404,816,0,0,1893531648,27158499328,1092509696,2708701184,191,348,0,0,0,0.220,0.150,0.050
0.083,0,99.917,0,0,0,65536,1297,510,0,0,1893531648,27158499328,1092517888,2708692992,153,250,0,0,0,0.220,0.150,0.050
0.083,0,99.917,0,0,0,0,766,5532,0,0,1893539840,27158482944,1092517888,2708701184,165,245,0,0,1,0.220,0.150,0.050
0.083,0,99.917,0,0,0,0,242,0,0,0,1893539840,27158482944,1092517888,2708701184,124,185,0,0,0,0.220,0.150,0.050
0.083,0.083,99.833,0,0,0,204800,216,0,0,0,1893539840,27158482944,1092517888,2708701184,147,186,0,0,0,0.220,0.150,0.050
0,0,100,0,0,0,0,156,0,0,0,1893539840,27158482944,1092517888,2708701184,97,148,0,0,0,0.210,0.150,0.050
0.083,0,99.917,0,0,0,0,92,0,0,0,1893539840,27158482944,1092517888,2708701184,113,176,0,0,0,0.210,0.150,0.050
0.083,0,99.917,0,0,0,12288,64,0,0,0,1893531648,27158482944,1092526080,2708701184,116,186,0,0,0,0.210,0.150,0.050
0.083,0,99.917,0,0,0,0,368,0,0,0,1893498880,27158515712,1092526080,2708701184,82,147,0,0,0,0.210,0.150,0.050
0,0,100,0,0,0,36864,216,0,0,0,1893531648,27158482944,1092526080,2708701184,81,136,0,0,0,0.210,0.150,0.050
0.083,0,99.917,0,0,0,0,60,0,0,0,1893531648,27158482944,1092526080,2708701184,80,142,0,0,0,0.190,0.140,0.050
0,0,100,0,0,0,0,908,710,0,0,1893531648,27158482944,1092526080,2708701184,103,214,0,0,0,0.190,0.140,0.050
22.648,2.664,74.355,0.333,0,0,13279232,1043656,958134,0,0,2121564160,26912292864,1092526080,2727170048,4678,29456,2,1,95,0.190,0.140,0.050
34.602,9.391,54.992,1.015,0,0,16945152,10335723,7472735,0,0,2215559168,26814115840,1092542464,2734120960,16937,212284,2,1,0,0.190,0.140,0.050
22.666,11.630,64.856,0.849,0,0,9306112,7856625,5595142,0,0,2240008192,26788012032,1092542464,2738171904,15880,171420,5,0,0,0.190,0.140,0.050
27.328,12.446,59.617,0.609,0,0,7716864,6479320,4573594,0,0,2259337216,26767659008,1092542464,2740293632,15940,143830,7,0,0,0.650,0.240,0.080
19.727,7.857,71.392,1.025,0,0,14630912,12033512,8367308,0,0,2293772288,26730651648,1092550656,2743619584,16283,239197,0,0,0,0.650,0.240,0.080
4.333,1.833,93.667,0.167,0,0,5865472,2008520,1372679,0,0,2284605440,26739691520,1092550656,2743738368,4125,41970,4,0,0,0.650,0.240,0.080
29.536,10.633,57.806,2.025,0,0,34295808,12239004,8365652,0,0,2352746496,26653245440,1092583424,2761506816,17843,251411,5,0,1,0.650,0.240,0.080
21.495,8.411,68.819,1.274,0,0,18178048,13065957,8987136,0,0,2386538496,26617610240,1092583424,2763309056,18080,270095,3,0,0,0.650,0.240,0.080
18.364,10.100,70.284,1.252,0,0,16646144,13293561,9031198,0,0,2418847744,26583547904,1092583424,2765017088,18016,274350,4,0,0,0.920,0.310,0.100
18.447,10.017,70.451,1.085,0,0,16072704,12951119,8819786,0,0,2450644992,26550026240,1092583424,2766712832,17938,273218,3,1,0,0.920,0.310,0.100
24.276,14.821,60.392,0.511,0,0,21807104,3457023,2488741,0,0,2427797504,26554355712,1092599808,2784718848,12765,87180,3,0,0,0.920,0.310,0.100
24.365,15.482,59.898,0.254,0,0,4726784,3252801,2316552,0,0,2435670016,26546106368,1092599808,2785095680,12772,81755,5,0,0,0.920,0.310,0.100
26.117,13.746,59.794,0.344,0,0,4276224,3297566,2395152,0,0,2444484608,26536816640,1092599808,2785562624,12851,83702,5,0,0,0.920,0.310,0.100
27.473,15.723,56.467,0.338,0,0,5562368,3488938,2539702,0,0,2453106688,26528043008,1092599808,2785710080,13235,86080,5,0,0,1.170,0.370,0.130
24.611,13.644,61.572,0.173,0,0,4882432,3272014,2352994,0,0,2470662144,26509979648,1092599808,2786201600,12764,84993,4,0,0,1.170,0.370,0.130
23.686,13.437,62.532,0.345,0,0,4722688,3057886,2205430,0,0,2471358464,26508947456,1092608000,2786521088,12653,82436,4,0,0,1.170,0.370,0.130
